id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1,2008,Johannesburg,01/18/08,South Africa,West Indies,West Indies,Batting,normal,,South Africa,,4 wickets,,Imperial Wanderer Stadium,,,
2,2008,Melbourne,02/01/08,Australia,India,India,Fielding,normal,,Australia,,9 wickets,,Melbourne Cricket Ground ,,,
3,2008,Auckland,02/05/08,New Zealand,England,England,Fielding,normal,,England,32 runs,,,Seddon Park,,,
4,2008,Christchurch,02/07/08,New Zealand,England,England,Fielding,normal,,England,50 runs,,,Hagley Oval ,,,
5,2008,Karachi,04/20/08,Pakistan,Bangladesh,Bangladesh,Batting,normal,,Pakistan,102 runs,,,National Stadium Karachi ,,,
6,2008,Manchester,06/13/08,England,New Zealand,New Zealand,Batting,normal,,England,,9 wickets,,Old Trafford ,,,
7,2008,Bridgetown,06/20/08,West Indies,Australia,Australia,Batting,normal,,West Indies,,7 wickets,,Bridgetown,,,
8,2008,Belfast,08/02/08,Kenya,Netherlands,Netherlands,Fielding,normal,,Netherlands,19 runs,,,Belfast,,,
9,2008,Belfast,08/02/08,Ireland,Scotland,Scotland,Batting,normal,,Ireland,,4 wickets,,Belfast,,,
10,2008,Belfast,08/02/08,Canada,Netherlands,Netherlands,Fielding,normal,,Canada,,4 wickets,,Belfast,,,
11,2008,Belfast,08/03/08,Bermuda,Scotland,Scotland,Fielding,normal,,Scotland,,8 wickets,,Belfast,,,
12,2008,Belfast,08/03/08,Canada,Kenya,Kenya,Batting,normal,,Kenya,,4 wickets,,Belfast,,,
13,2008,Belfast,08/03/08,Ireland,Bermuda,Ireland,Batting,normal,,Ireland,4 runs,,,Belfast,,,
14,2008,Belfast,08/04/08,Ireland,Kenya,Ireland,Fielding,normal,,Ireland,,4 wickets,,Belfast,,,
15,2008,Belfast,08/04/08,Netherlands,Scotland,Netherlands,Fielding,normal,,Netherlands,,5 wickets,,Belfast,,,
